Area,Year,Age,Sex,Legally registered relationship status,Ethnic group,Value,Flags
"Total, New Zealand by regional council/area unit","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",2386242,
"Total, New Zealand by regional council/area unit","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",396288,
"Total, New Zealand by regional council/area unit","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",190425,
"Total, New Zealand by regional council/area unit","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",374508,
"Total, New Zealand by regional council/area unit","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",34971,
"Total, New Zealand by regional council/area unit","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",53634,
"Far North District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",26442,
"Far North District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",14898,
"Far North District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",963,
"Far North District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",804,
"Far North District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",153,
"Far North District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",696,
"Whangarei District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",45582,
"Whangarei District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",12177,
"Whangarei District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",1134,
"Whangarei District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",1872,
"Whangarei District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",192,
"Whangarei District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",1158,
"Kaipara District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",12066,
"Kaipara District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",2718,
"Kaipara District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",282,
"Kaipara District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",252,
"Kaipara District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",21,
"Kaipara District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",255,
"Auckland","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",631509,
"Auckland","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",94734,
"Auckland","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",127185,
"Auckland","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",246414,
"Auckland","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",18840,
"Auckland","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",11751,
"Rodney Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",36810,
"Rodney Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",3258,
"Rodney Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",849,
"Rodney Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",1323,
"Rodney Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",147,
"Rodney Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",834,
"Hibiscus and Bays Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",61347,
"Hibiscus and Bays Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",3249,
"Hibiscus and Bays Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",921,
"Hibiscus and Bays Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",5643,
"Hibiscus and Bays Local Board Area","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",597,
