Year,Welfare,Health,Education,GovernmentServices,LawAndOrder,Defence,TransportAndCommunications,EconomicAndIndustrial,CultureAndOther,FinanceCosts
1972,0.0562912956,0.0419132433,0.0481183568,0.0163458776,0.0046251077,0.0170640621,0.0207411663,0.0062194772,0.0189026142,0.0241309968
1973,0.0655519642,0.042652909,0.046842367,0.0165713575,0.0049477872,0.015924913,0.0227623073,0.0085405271,0.0178393834,0.0231849826
1974,0.0694513046,0.0430688285,0.0472672608,0.0180392999,0.0049715452,0.0148931601,0.0181144637,0.0080747342,0.0209169977,0.0216793729
1975,0.0778522828,0.0485455083,0.0519278178,0.0225224337,0.0060151859,0.0160733655,0.0208263485,0.0143279755,0.030914111,0.0218716103
1976,0.0872418621,0.0530014001,0.0548652433,0.0238624431,0.0068078404,0.0164858243,0.0240462023,0.0199859993,0.0432359118,0.0238711936
1977,0.083518305,0.0496612857,0.0504035745,0.02271548,0.0057365235,0.0151844912,0.0166186221,0.0211300086,0.0204093399,0.0267584318
1978,0.1010235612,0.0520471224,0.0519827475,0.0217394103,0.0069203038,0.015977855,0.0159392301,0.0241985323,0.0237350328,0.0303398996
1979,0.1049428151,0.0554920168,0.0526157853,0.0237798664,0.007886989,0.0166006115,0.0158022874,0.0275223644,0.0287340052,0.033733439
1980,0.1068323592,0.0558082421,0.0495751265,0.0229726411,0.0080897883,0.0167395255,0.0130163564,0.0195736529,0.0239009775,0.0376442851
1981,0.1089665909,0.057068922,0.0543633763,0.0239165194,0.0087856602,0.0187831356,0.0139947825,0.0182908356,0.0211436506,0.0377387865
1982,0.1058854239,0.0557288041,0.051969929,0.0234233607,0.0088229152,0.0202248364,0.0160309063,0.0227063901,0.0228908534,0.0421481275
1983,0.1133609858,0.0534681643,0.0496170032,0.0214084592,0.0080626116,0.0195010445,0.0150049956,0.0224681341,0.0215235096,0.0451905901
1984,0.1099484116,0.0490062449,0.0454602226,0.0197990768,0.0073662775,0.0179256041,0.0145832202,0.0243334238,0.0270458865,0.0554412164
1985,0.106631103,0.0457263833,0.0413510992,0.0193167954,0.0069875368,0.0178240796,0.0129966749,0.020902806,0.0200631534,0.0613018204
1986,0.1128902608,0.0478360853,0.0416478485,0.021715801,0.0081025089,0.0176531521,0.0179328347,0.0156456525,0.0095464998,0.0691955499
1987,0.112852266,0.0515083429,0.0452015188,0.0209983628,0.0090674748,0.0186731459,0.0181035984,0.0175479848,0.0082976278,0.0712700735
1988,0.1205877801,0.052425096,0.0482573975,0.0278290207,0.0105453758,0.0194626718,0.010133713,0.015578185,0.0053082828,0.0769298626
1989,0.1302640033,0.0519625341,0.0509616346,0.0269300513,0.0123320531,0.0195168268,0.0095949284,0.0124519897,0.0050787441,0.0641446664
1990,0.1385989417,0.0507964221,0.0546375138,0.0319173225,0.0128757152,0.0181619168,0.0119302157,0.0116871256,0.0038854119,0.0634518789
1991,0.1370374306,0.0529447706,0.0584570837,0.0325013947,0.0133344845,0.0175225141,0.0109714954,0.0137980501,0.004452355,0.0614191217
1992,0.1393536197,0.0505845766,0.0586151242,0.0273550368,0.0135981315,0.0162448005,0.0107073968,0.0084071435,0.0035337034,0.0544161451
1993,0.1361919919,0.0493169521,0.0573378318,0.0277433318,0.0163142148,0.0149137437,0.009136164,0.0120198612,0.0019084601,0.0496339678
1994,0.1345901178,0.0481441509,0.048953592,0.0196260147,0.0134320304,0.0123058514,0.0085988457,0.0076603632,0.006839191,0.0444371451
1995,0.1286968932,0.0479415962,0.0476232298,0.0142715995,0.0129103085,0.0111208695,0.0078384016,0.0068284115,0.0082885059,0.0412449226
1996,0.1263654573,0.0482375534,0.0460796663,0.0155698267,0.0126169286,0.0100150742,0.0076093915,0.0098085779,0.0064220373,0.038232804
1997,0.1202844176,0.0496603073,0.0475668523,0.0193150847,0.0125014812,0.0093415492,0.0078702058,0.007020974,0.0071098471,0.0290812498
1998,0.125502952,0.0516563566,0.0497388757,0.0179029119,0.0128056888,0.0102618951,0.0081902449,0.0074097628,0.0085756682,0.0257559114
1999,0.1253306539,0.0548035933,0.0497849833,0.01850729,0.0138244979,0.0095334932,0.0086099943,0.0075838845,0.0065297898,0.0220800179
2000,0.1189605682,0.0541598005,0.0503353043,0.0175539087,0.0132976145,0.0102485923,0.0081865367,0.007763551,0.0069792649,0.0194309079
