,DATE,R$USD,RTWI,
,1970M1,1.1200,#N/A,
,1970M2,1.1200,#N/A,
,1970M3,1.1200,113.10,
,1970M4,1.1200,#N/A,
,1970M5,1.1200,#N/A,
,1970M6,1.1200,112.80,
,1970M7,1.1200,#N/A,
,1970M8,1.1200,#N/A,
,1970M9,1.1200,112.60,
,1970M10,1.1200,#N/A,
,1970M11,1.1200,#N/A,
,1970M12,1.1200,112.70,
,1971M1,1.1200,#N/A,
,1971M2,1.1200,#N/A,
,1971M3,1.1200,113.00,
,1971M4,1.1200,#N/A,
,1971M5,1.1200,#N/A,
,1971M6,1.1200,113.00,
,1971M7,1.1200,#N/A,
,1971M8,1.1200,#N/A,
,1971M9,1.1520,113.10,
,1971M10,1.1620,#N/A,
,1971M11,1.1640,#N/A,
,1971M12,1.1952,112.30,
,1972M1,1.1952,#N/A,
,1972M2,1.1952,#N/A,
,1972M3,1.1952,110.40,
,1972M4,1.1952,#N/A,
,1972M5,1.1952,#N/A,
,1972M6,1.1952,113.50,
,1972M7,1.1952,#N/A,
,1972M8,1.1952,#N/A,
,1972M9,1.1952,114.40,
,1972M10,1.1952,#N/A,
,1972M11,1.1952,#N/A,
,1972M12,1.1952,116.00,
,1973M1,1.1952,#N/A,
,1973M2,1.3272,#N/A,
,1973M3,1.3272,120.80,
,1973M4,1.3272,#N/A,
,1973M5,1.3272,#N/A,
,1973M6,1.3272,117.70,
,1973M7,1.3517,#N/A,
,1973M8,1.3436,#N/A,
,1973M9,1.4413,133.10,
,1973M10,1.4805,#N/A,
,1973M11,1.4573,#N/A,
,1973M12,1.4331,133.10,
,1974M1,1.3871,#N/A,
,1974M2,1.4082,#N/A,
,1974M3,1.4358,133.10,
,1974M4,1.4551,#N/A,
,1974M5,1.4645,#N/A,
,1974M6,1.4544,133.10,
,1974M7,1.4501,#N/A,
,1974M8,1.4313,#N/A,
,1974M9,1.4002,124.80,
,1974M10,1.3036,#N/A,
,1974M11,1.3048,#N/A,
,1974M12,1.3096,124.80,
,1975M1,1.3221,#N/A,
,1975M2,1.3382,#N/A,
,1975M3,1.3485,124.80,
,1975M4,1.3314,#N/A,
,1975M5,1.3223,#N/A,
,1975M6,1.3132,124.80,
,1975M7,1.2817,#N/A,
,1975M8,1.1227,#N/A,
,1975M9,1.0600,106.10,
,1975M10,1.0524,#N/A,
,1975M11,1.0522,#N/A,
,1975M12,1.0427,106.10,
,1976M1,1.0454,#N/A,
,1976M2,1.0476,#N/A,
,1976M3,1.0293,106.10,
,1976M4,1.0072,#N/A,
,1976M5,0.9972,#N/A,
,1976M6,0.9867,106.10,
,1976M7,0.9947,#N/A,
,1976M8,1.0013,#N/A,
,1976M9,0.9935,106.10,
,1976M10,0.9686,#N/A,
,1976M11,0.9611,#N/A,
,1976M12,0.9245,105.30,
,1977M1,0.9519,#N/A,
,1977M2,0.9539,#N/A,
,1977M3,0.9585,105.30,
,1977M4,0.9628,#N/A,
,1977M5,0.9617,#N/A,
,1977M6,0.9641,105.30,
,1977M7,0.9727,#N/A,
,1977M8,0.9704,#N/A,
,1977M9,0.9699,105.30,
,1977M10,0.9825,#N/A,
,1977M11,0.9950,#N/A,
,1977M12,1.0065,105.30,
,1978M1,1.0219,105.30,
,1978M2,1.0229,105.30,
,1978M3,1.0239,105.30,
,1978M4,1.0209,105.30,
,1978M5,1.0087,105.30,
,1978M6,1.0202,105.30,
,1978M7,1.0384,105.30,
,1978M8,1.0553,105.30,
,1978M9,1.0571,105.30,
,1978M10,1.0729,105.30,
,1978M11,1.0572,105.30,
,1978M12,1.0547,105.30,
,1979M1,1.0592,105.30,
,1979M2,1.0545,105.30,
,1979M3,1.0547,105.30,
,1979M4,1.0504,105.30,
,1979M5,1.0445,105.30,
,1979M6,1.0354,100.00,
,1979M7,1.0204,99.60,
,1979M8,1.0145,99.40,
,1979M9,1.0043,99.00,
,1979M10,0.9864,98.90,
,1979M11,0.9693,99.30,
,1979M12,0.9810,98.70,
,1980M1,0.9875,98.30,
,1980M2,0.9804,98.00,
,1980M3,0.9555,97.00,
,1980M4,0.9483,96.70,
,1980M5,0.9773,95.60,
,1980M6,0.9879,94.80,
,1980M7,0.9870,94.60,
,1980M8,0.9775,93.80,
,1980M9,0.9834,93.00,
,1980M10,0.9812,92.40,
,1980M11,0.9683,92.00,
,1980M12,0.9542,90.60,
,1981M1,0.9621,90.20,
,1981M2,0.9358,89.50,
,1981M3,0.9209,89.20,
,1981M4,0.9043,88.80,
,1981M5,0.8823,88.40,
,1981M6,0.8587,87.40,
,1981M7,0.8386,87.20,
,1981M8,0.8238,86.40,
,1981M9,0.8277,85.80,
,1981M10,0.8252,85.70,
,1981M11,0.8312,84.80,
