1,We,1,2014,04:06,0.3,10:18,3.6,16:34,0.3,22:42,3.6
2,Th,1,2014,04:57,0.1,11:08,3.8,17:25,0.2,23:33,3.6
3,Fr,1,2014,05:46,0.1,11:56,3.8,18:14,0.1,,
4,Sa,1,2014,00:23,3.7,06:34,0.1,12:45,3.8,19:04,0.2
5,Su,1,2014,01:13,3.6,07:22,0.2,13:34,3.7,19:53,0.3
6,Mo,1,2014,02:02,3.5,08:11,0.4,14:24,3.5,20:44,0.4
7,Tu,1,2014,02:53,3.3,09:02,0.6,15:16,3.3,21:36,0.6
8,We,1,2014,03:47,3.1,09:57,0.8,16:12,3.1,22:32,0.8
9,Th,1,2014,04:46,2.9,10:59,1.0,17:12,2.9,23:33,0.9
10,Fr,1,2014,05:52,2.8,12:07,1.1,18:17,2.8,,
11,Sa,1,2014,00:39,1.0,07:03,2.8,13:16,1.1,19:22,2.8
12,Su,1,2014,01:44,1.0,08:08,2.9,14:18,1.0,20:22,2.9
13,Mo,1,2014,02:41,0.9,09:01,3.0,15:09,0.9,21:13,2.9
14,Tu,1,2014,03:30,0.8,09:45,3.1,15:54,0.8,21:57,3.0
15,We,1,2014,04:11,0.7,10:23,3.2,16:33,0.7,22:36,3.1
16,Th,1,2014,04:49,0.6,10:59,3.3,17:10,0.6,23:13,3.2
17,Fr,1,2014,05:23,0.6,11:32,3.4,17:45,0.6,23:47,3.2
18,Sa,1,2014,05:57,0.5,12:04,3.4,18:19,0.6,,
19,Su,1,2014,00:20,3.2,06:29,0.6,12:36,3.4,18:53,0.6
20,Mo,1,2014,00:54,3.2,07:02,0.6,13:09,3.3,19:28,0.6
21,Tu,1,2014,01:28,3.2,07:36,0.7,13:44,3.2,20:05,0.7
22,We,1,2014,02:05,3.1,08:14,0.8,14:23,3.1,20:45,0.8
23,Th,1,2014,02:46,3.0,08:57,0.9,15:09,3.0,21:31,0.9
24,Fr,1,2014,03:35,2.9,09:50,1.0,16:02,2.9,22:25,0.9
25,Sa,1,2014,04:35,2.9,10:54,1.1,17:06,2.9,23:29,1.0
26,Su,1,2014,05:45,2.9,12:06,1.1,18:16,2.9,,
27,Mo,1,2014,00:40,0.9,06:59,3.0,13:21,1.0,19:28,3.0
28,Tu,1,2014,01:51,0.8,08:09,3.2,14:28,0.7,20:36,3.2
29,We,1,2014,02:55,0.5,09:10,3.4,15:27,0.5,21:36,3.4
30,Th,1,2014,03:51,0.3,10:04,3.6,16:20,0.3,22:30,3.6
31,Fr,1,2014,04:42,0.1,10:53,3.8,17:10,0.1,23:20,3.7
1,Sa,2,2014,05:30,0.0,11:41,3.9,17:58,0.0,,
2,Su,2,2014,00:08,3.7,06:17,0.0,12:27,3.9,18:45,0.1
3,Mo,2,2014,00:54,3.7,07:02,0.1,13:13,3.7,19:31,0.2
4,Tu,2,2014,01:39,3.5,07:48,0.3,13:58,3.5,20:17,0.4
5,We,2,2014,02:25,3.3,08:35,0.5,14:45,3.3,21:04,0.6
6,Th,2,2014,03:13,3.1,09:25,0.8,15:35,3.1,21:54,0.8
7,Fr,2,2014,04:06,2.9,10:22,1.0,16:31,2.9,22:51,1.0
8,Sa,2,2014,05:09,2.8,11:28,1.2,17:35,2.7,23:57,1.1
9,Su,2,2014,06:23,2.7,12:41,1.2,18:45,2.7,,
10,Mo,2,2014,01:10,1.2,07:37,2.8,13:50,1.2,19:54,2.7
11,Tu,2,2014,02:15,1.1,08:36,2.9,14:46,1.0,20:51,2.8
12,We,2,2014,03:07,0.9,09:22,3.0,15:31,0.9,21:36,3.0
13,Th,2,2014,03:50,0.8,10:01,3.2,16:11,0.7,22:16,3.1
14,Fr,2,2014,04:27,0.7,10:35,3.3,16:47,0.6,22:51,3.2
15,Sa,2,2014,05:01,0.6,11:08,3.4,17:21,0.5,23:24,3.3
16,Su,2,2014,05:33,0.5,11:40,3.4,17:54,0.5,23:56,3.3
17,Mo,2,2014,06:05,0.5,12:11,3.4,18:27,0.5,,
18,Tu,2,2014,00:28,3.3,06:37,0.5,12:43,3.4,19:00,0.5
19,We,2,2014,01:01,3.3,07:11,0.6,13:17,3.3,19:36,0.6
20,Th,2,2014,01:37,3.2,07:48,0.7,13:55,3.2,20:16,0.6
21,Fr,2,2014,02:17,3.1,08:31,0.8,14:39,3.1,21:01,0.8
22,Sa,2,2014,03:05,3.0,09:23,0.9,15:33,3.0,21:55,0.9
23,Su,2,2014,04:05,2.9,10:28,1.0,16:39,2.9,23:01,1.0
24,Mo,2,2014,05:17,2.9,11:43,1.1,17:54,2.8,,
25,Tu,2,2014,00:16,1.0,06:37,2.9,13:01,1.0,19:11,2.9
26,We,2,2014,01:32,0.8,07:52,3.1,14:11,0.7,20:22,3.1
27,Th,2,2014,02:39,0.6,08:54,3.4,15:11,0.5,21:22,3.4
